Clubes,América,Athletico,Atlético,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco,Média da Liga
Despesas com Operação de jogos,0.0,18.0,43.0,0.0,0.0,40.0,6.0,0.0,0.0,125.0,18.0,0.0,23.0,10.0,9.0,26.0,25.0,57.0,30.0,33.07692307692308
Despesas gerais e administrativas,84.0,80.0,34.0,0.0,0.0,74.0,58.0,0.0,21.0,131.0,58.0,0.0,89.0,26.0,76.0,86.0,59.0,45.0,72.0,66.2
Depreciação e amortização,16.0,43.0,79.0,0.0,0.0,81.0,0.4,0.0,0.0,200.0,4.0,0.0,5.3,2.5,49.0,106.0,49.5,79.0,59.0,55.26428571428572
Outras despesas,5.0,154.0,255.0,0.0,0.0,214.0,24.5,0.0,0.0,17.0,280.0,0.0,65.69999999999999,15.0,43.0,154.0,105.5,206.0,93.0,116.55
Despesas totais,197.0,428.0,627.0,0.0,0.0,672.0,208.0,0.0,120.0,936.0,541.0,0.0,414.0,104.0,373.0,777.0,419.0,653.0,415.0,458.93333333333334
Resultado,-9.0,383.0,309.0,0.0,0.0,121.0,50.0,0.0,37.0,309.0,78.0,0.0,45.0,124.0,170.0,8.5,1.0,62.0,-70.0,124.5
Geração de Caixa Operacional,34.0,130.0,430.0,0.0,0.0,95.0,44.0,0.0,43.0,319.0,59.0,0.0,63.0,79.0,143.0,237.0,120.0,94.0,119.0,133.93333333333334
EBITDA,7.0,498.0,-212.0,0.0,0.0,248.0,60.0,0.0,37.0,485.0,129.0,0.0,155.0,-0.8,298.0,186.0,192.0,116.0,-11.0,182.26666666666665
Duplicidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Provisão p/ Contingências,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,37.0,0.0,0.0,23.0,0.0,0.0,0.0,39.666666666666664
Aquisições de atletas,9.0,39.0,148.0,0.0,0.0,53.0,6.1,0.0,0.0,273.0,6.0,0.0,24.0,0.1,85.0,150.0,98.0,77.0,157.0,80.37142857142858
Gastos c/ Base,12.0,14.0,24.0,0.0,0.0,0.0,4.8,0.0,0.0,16.0,31.0,0.0,26.0,5.0,19.0,29.0,12.0,34.0,0.0,18.900000000000002
Despesas Operacionais c/ Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0
Imobilizado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,160.0,0.0,0.0,701.0,49.0,226.0,0.0,276.8
Folha do futebol,92.0,133.0,216.0,0.0,0.0,261.0,119.1,0.0,99.0,463.0,181.0,0.0,231.0,50.0,196.0,405.0,172.0,266.0,160.0,202.94
Base de Torcedores %,0.5,1.5,4.3,3.6,2.0,14.2,0.1,6.1,0.1,21.9,3.4,1.2,4.6,0.2,3.5,7.7,3.1,9.9,6.2,4.952631578947369
Base de Torcedores,1.0,3.3,9.5,7.9,4.4,31.2,3.3,13.4,0.2,48.1,7.5,2.6,10.1,0.4,7.7,16.9,6.8,21.8,13.6,11.036842105263158
Pontuação Série A,24.0,56.0,66.0,44.0,64.0,50.0,30.0,47.0,51.0,66.0,56.0,54.0,68.0,38.0,55.0,70.0,43.0,53.0,45.0,51.578947368421055
Performance Série A,0.0,0.8424800309172651,0.9493678621260133,0.5286339468194481,0.910680994787812,0.6830107460908589,0.227670248696953,0.6391511932854698,0.7216976134290604,0.9305936816070189,0.8668214419824227,0.7876096569652562,0.9671267134323301,0.3608488067145302,0.8161893041084362,0.983974444213354,0.455340497393906,0.7563041955164012,0.5885190554114832,0.7231122463054453
Bilheteria Série A (R$ milhões),7.3,18.6,31.2,22.6,24.1,42.9,12.0,25.6,14.9,69.6,25.9,10.7,38.0,5.0,23.3,45.9,8.4,47.8,21.5,26.068421052631578
Bilheteria média Série A (R$ mil/jogo),386.0,977.0,1645.0,1189.0,1271.0,2384.0,704.0,1436.0,782.0,3661.0,1363.0,564.0,2001.0,266.0,1226.0,2416.0,558.0,2515.0,1435.0,1409.421052631579
Público Médio (pagantes),4910.0,22283.0,27989.0,36461.0,26691.0,38433.0,21466.0,29307.0,14701.0,54499.0,29783.0,32787.0,31385.0,7698.0,27325.0,33167.0,12147.0,43780.0,26347.0,27429.42105263158
Sócios-Torcedores,1000.0,40000.0,77763.0,67500.0,58983.0,51000.0,35000.0,45115.0,2500.0,85000.0,60843.0,36902.0,112156.0,10070.0,142295.0,179913.0,47758.0,55318.0,45000.0,60742.94736842105
Público Médio / Sócios-Torcedores,4.91,0.557075,0.359926957550506,0.540162962962963,0.45252021768984285,0.7535882352941177,0.6133142857142857,0.6496065610107503,5.8804,0.641164705882353,0.48950577716417665,0.8884884288114465,0.279833446271265,0.7644488579940417,0.19203064057064548,0.1843502137144064,0.25434482180995854,0.7914241295780758,0.5854888888888888,1.0414565332056698
PIB do Estado (R bilhões),858.0,550.0,858.0,353.0,949.0,2720.0,550.0,858.0,142.0,949.0,949.0,195.0,581.0,269.0,581.0,2720.0,2720.0,2720.0,949.0,1077.421052631579
Valor do Elenco (€ milhões),15.0,69.0,89.0,59.0,71.0,114.0,25.0,65.0,27.0,165.0,110.0,38.0,78.0,14.0,100.0,222.0,39.0,91.0,70.0,76.89473684210526
Receita Operacional Líquida / Base de Torcedores,188.0,155.57575757575756,35.36842105263158,0.0,0.0,26.85897435897436,48.515151515151516,0.0,790.0,27.35966735966736,60.266666666666666,0.0,41.98019801980198,225.0,48.57142857142857,49.64497041420119,62.35294117647059,30.68807339449541,25.36764705882353,121.03665981093802
Receita Operacional Líquida  / Sócios Torcedores,188.0,12.834999999999999,4.320820955981636,0.0,0.0,16.431372549019606,4.574285714285714,0.0,63.2,15.48235294117647,7.428956494584423,0.0,3.780448660793894,8.937437934458789,2.628342527847078,4.663365070895377,8.878093722517693,12.093712715571785,7.666666666666666,24.061390396919943
Receita com Venda de Direitos Econômicos / Gastos com a Base,5.166666666666667,17.214285714285715,4.625,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,19.0,0.5161290322580645,0.0,1.9230769230769231,0.9,4.052631578947368,6.448275862068965,14.5,3.5588235294117645,0.0,6.755962997781846
Receita com Venda de Direitos Econômicos / Pontuação Série A,2.5833333333333335,4.303571428571429,1.6818181818181819,0.0,0.0,5.02,0.5066666666666666,0.0,0.0,4.606060606060606,0.2857142857142857,0.0,0.7352941176470589,0.11842105263157894,1.4,2.6714285714285713,4.046511627906977,2.2830188679245285,2.7844444444444445,2.3590202274391183
Receita com Premiação / Folha do Futebol,0.0,0.0,0.0,0.0,0.0,0.06513409961685823,0.0,0.0,0.0,0.21,0.856353591160221,0.0,0.0,0.22,0.3826530612244898,0.19753086419753085,0.0,0.0,0.125,0.2938102308855857
Folha do futebol / Pontuação Série A,3.8333333333333335,2.375,3.272727272727273,0.0,0.0,0.0,3.9699999999999998,0.0,1.9411764705882353,7.02,3.232142857142857,0.0,3.3970588235294117,1.3157894736842106,3.5636363636363635,5.785714285714286,4.0,5.018867924528302,3.5555555555555554,3.7343573114599877
Receita Operacional Líquida / Pontuação Série A,7.833333333333333,9.167857142857143,5.090909090909091,0.0,0.0,16.76,5.336666666666667,0.0,3.0980392156862746,18.86,8.071428571428571,0.0,6.235294117647059,2.3684210526315788,6.8,11.985714285714286,9.86046511627907,12.622641509433961,7.666666666666667,8.783829117950246
Gastos com a Base,12.0,14.0,24.0,0.0,0.0,0.0,4.8,0.0,0.0,16.0,31.0,0.0,26.0,5.0,19.0,29.0,12.0,34.0,0.0,18.900000000000002
Duplicidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receita c/ Direitos de transmissão,73.0,43.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,326.0,121.5,0.0,0.0,45.1,75.0,183.0,0.0,0.0,99.0,141.39999999999998
Dívida,104.0,251.0,1255.0,0.0,0.0,698.0,18.0,0.0,0.8,255.0,600.0,0.0,453.0,61.4,438.0,151.0,418.0,0.0,631.0,381.0142857142858
Dívida/EBITDA,14.857142857142858,0.5040160642570282,0.0,0.0,0.0,2.814516129032258,0.3,0.0,0.021621621621621623,0.5257731958762887,4.651162790697675,0.0,2.92258064516129,-76.75,1.4697986577181208,0.8118279569892473,2.1770833333333335,0.0,-57.36363636363637,-9.368919373800605
Dívida/Receita Operacional Líquida,0.5531914893617021,0.4888975457732762,3.7351190476190474,0.0,0.0,0.8329355608591885,0.11242973141786385,0.0,0.005063291139240506,0.19376899696048633,1.3274336283185841,0.0,1.0683962264150944,0.6822222222222222,1.1711229946524064,0.1799761620977354,0.9858490566037735,0.0,1.8289855072463768,0.9403851043347855
Folha do futebol / Receita Operacional Líquida,0.48936170212765956,0.25905726529022205,0.6428571428571429,0.0,0.0,0.31145584725536996,0.7439100562148657,0.0,0.6265822784810127,0.3518237082066869,0.4004424778761062,0.0,0.5448113207547169,0.5555555555555556,0.5240641711229946,0.4827175208581645,0.4056603773584906,0.3976083707025411,0.463768115942029,0.4799783940402373
Folha futebol + Compra jogadores / Rec Oper Líquida,0.5372340425531915,0.33502142578885863,1.0833333333333333,0.0,0.0,0.3747016706443914,0.7820112429731417,0.0,0.6265822784810127,0.5592705167173252,0.413716814159292,0.0,0.6014150943396226,0.5566666666666666,0.7513368983957219,0.6615017878426699,0.6367924528301887,0.5127055306427504,0.9188405797101449,0.6234086890052206
Despesas c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0
Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,51.0,0.0,0.0,0.0,25.0
Receita com Venda de Direitos Econômicos / Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,4.052631578947368,3.6666666666666665,0.0,0.0,0.0,2.873099415204678
Receita c/ Pay-per-View,0.483,0.0,16.4,6.05,9.52,118.2,1.6,18.0,0.12,177.3,10.5,1.96,56.9,1.05,15.0,50.0,9.95,27.9,20.5,30.07961111111111
Despesas Administrativas / Folha do Futebol,0.9130434782608695,0.6015037593984962,0.1574074074074074,0.0,0.0,0.2835249042145594,0.4869857262804366,0.0,0.21212121212121213,0.28293736501079914,0.32044198895027626,0.0,0.3852813852813853,0.52,0.3877551020408163,0.2123456790123457,0.3430232558139535,0.16917293233082706,0.45,0.38170294640822566
